SubscriptionName,ResourceId,BillingMonth,Quantity_Compute,Quantity_Storage,Quantity_API,CostInBillingCurrency,ConsumedService,MeterName
Partner-Integration,appi-0ef7381,2026-06,0.0,0.0,47728564,596.6,Application Insights,APM telemetry
Production-Secondary,sqldb-006e371,2026-06,594.0,412.5,0,2408.99,SQL Database,Premium P1 analytics
Data-Science,aks-10ae750,2026-06,264.6,0.0,0,396.98,AKS,Dev K8s cluster
DR-Recovery,sb-0ba9867,2026-06,0.0,0.0,15519965,38.8,Service Bus,Standard messaging
Shared-Services,vm-0c90772,2026-06,933.4,0.0,0,1135.61,Virtual Machines,D4s v3 CI runner
Finance-Systems,sb-0610431,2026-06,0.0,0.0,25052883,62.63,Service Bus,Standard messaging
Partner-Integration,redis-03b0238,2026-06,759.4,0.0,0,923.97,Azure Cache for Redis,Premium P1 cache
Mobile-Backend,sqldb-0349366,2026-06,845.3,587.0,0,3428.16,SQL Database,Premium P1 analytics
Mobile-Backend,vm-0986858,2026-06,705.2,0.0,0,1001.41,Virtual Machines,F4s v2 compute node
Production-Main,app-0028269,2026-06,981.2,0.0,0,596.9,App Service,Web app P1v3
DevOps-Central,appi-060e853,2026-06,0.0,0.0,62386804,779.83,Application Insights,APM telemetry
Data-Science,sb-0152320,2026-06,0.0,0.0,24445564,61.11,Service Bus,Standard messaging
Customer-Portal,cosmos-0aa0416,2026-06,586.2,81.4,20351405,763.17,Cosmos DB,Event store
Analytics-Platform,aks-0f9f800,2026-06,1055.6,0.0,0,1583.4,AKS,Staging K8s cluster
Finance-Systems,sentinel-108a486,2026-06,0.0,0.0,112265153,2806.62,Microsoft Sentinel,SIEM detection
Finance-Systems,appi-0fce421,2026-06,0.0,0.0,53739171,671.75,Application Insights,APM telemetry
Production-Main,aks-0828395,2026-06,1244.7,0.0,0,1867.0,AKS,Staging K8s cluster
Mobile-Backend,acr-0c2e265,2026-06,0.0,167.2,334519,110.39,Container Registry,Docker image registry
Customer-Portal,blob-0df2180,2026-06,0.0,2846.9,7117214,462.61,Blob Storage,Media content
Production-Secondary,eh-0eec514,2026-06,650.0,0.0,27082407,296.55,Event Hubs,Standard throughput units
Partner-Integration,ado-0c66978,2026-06,0.0,86.4,0,21.6,Azure DevOps,Artifacts storage
Partner-Integration,redis-0765770,2026-06,601.0,0.0,0,731.31,Azure Cache for Redis,Premium P1 cache
Internal-Tools,aks-0672283,2026-06,771.8,0.0,0,3473.03,AKS,Production K8s cluster
Partner-Integration,sqldb-0979792,2026-06,1044.3,362.6,0,1747.44,SQL Database,Standard S3 production
Production-Main,blob-1073292,2026-06,0.0,2651.4,7070299,344.68,Blob Storage,Build artifacts
Analytics-Platform,kv-1126150,2026-06,0.0,0.0,603827,1.81,Key Vault,Certificate store
Production-Main,app-0623118,2026-06,539.8,0.0,0,656.67,App Service,API app P2v3
Finance-Systems,sentinel-0552744,2026-06,0.0,0.0,108493068,2712.32,Microsoft Sentinel,SIEM detection
Mobile-Backend,vm-0959284,2026-06,626.7,0.0,0,190.64,Virtual Machines,B2s development VM
Partner-Integration,sqldb-09c3873,2026-06,1109.3,385.3,0,1856.26,SQL Database,Standard S3 production
Production-Main,kv-0bab992,2026-06,0.0,0.0,2652318,7.96,Key Vault,Secrets management
DevOps-Central,sentinel-0c65933,2026-06,0.0,0.0,128075986,3201.9,Microsoft Sentinel,SIEM detection
Shared-Services,ado-0a55808,2026-06,485.8,0.0,0,242.86,Azure DevOps,Pipelines hosted
Shared-Services,fd-0f31203,2026-06,0.0,0.0,73535358,551.53,Front Door,Global load balancer
Shared-Services,ado-0734847,2026-06,458.1,0.0,0,229.01,Azure DevOps,Pipelines hosted
Production-Secondary,aks-0c9d452,2026-06,279.9,0.0,0,419.88,AKS,Dev K8s cluster
DR-Recovery,kv-0f82870,2026-06,0.0,0.0,3388819,10.16,Key Vault,Secrets management
Finance-Systems,blob-0f7e871,2026-06,0.0,7800.0,77997,233.99,Blob Storage,Backup storage
DR-Recovery,sqldb-02f6848,2026-06,873.3,303.2,0,1461.31,SQL Database,Standard S3 production
Production-Main,vm-003e151,2026-06,781.4,0.0,0,237.66,Virtual Machines,B2s development VM
Finance-Systems,appi-1002402,2026-06,0.0,0.0,55629032,695.37,Application Insights,APM telemetry
Production-Secondary,acr-1141721,2026-06,0.0,188.0,375809,124.02,Container Registry,Docker image registry
DevOps-Central,appi-0cb4375,2026-06,0.0,0.0,14238081,177.98,Application Insights,Custom metrics
Customer-Portal,cosmos-0447788,2026-06,809.6,56.2,16867366,548.19,Cosmos DB,Config store
Partner-Integration,ado-092b573,2026-06,685.1,0.0,0,342.59,Azure DevOps,Pipelines hosted
Shared-Services,ado-1140484,2026-06,0.0,111.2,0,27.79,Azure DevOps,Artifacts storage
Shared-Services,fd-0560173,2026-06,0.0,0.0,63753262,478.16,Front Door,Global load balancer
DevOps-Central,redis-09e7408,2026-06,767.4,0.0,0,933.6,Azure Cache for Redis,Premium P1 cache
DevOps-Central,blob-00da581,2026-06,0.0,11026.7,4135015,585.79,Blob Storage,Data lake storage
DevOps-Central,redis-1190753,2026-06,687.7,0.0,0,836.73,Azure Cache for Redis,Premium P1 cache
DevOps-Central,kv-0e1b913,2026-06,0.0,0.0,291780,0.89,Key Vault,Certificate store
DR-Recovery,kv-0613428,2026-06,0.0,0.0,2622830,7.87,Key Vault,Secrets management
Internal-Tools,ado-02a5507,2026-06,0.0,92.0,0,23.0,Azure DevOps,Artifacts storage
Finance-Systems,redis-0210457,2026-06,663.8,0.0,0,336.5,Azure Cache for Redis,Standard C2 cache
DevOps-Central,vm-071c986,2026-06,699.6,0.0,0,1702.4,Virtual Machines,D8s v3 application server
Production-Main,eh-0cf0769,2026-06,668.3,0.0,27845141,304.91,Event Hubs,Standard throughput units
Shared-Services,cosmos-0e93637,2026-06,671.3,93.2,23307687,874.04,Cosmos DB,Event store
Finance-Systems,func-0826413,2026-06,0.0,0.0,6301596,94.53,Azure Functions,API handlers
Shared-Services,ado-0b78468,2026-06,428.5,0.0,0,214.23,Azure DevOps,Pipelines hosted
Mobile-Backend,acr-0b12701,2026-06,0.0,207.6,415181,137.01,Container Registry,Docker image registry
Finance-Systems,sentinel-05e7563,2026-06,0.0,0.0,104673346,2616.83,Microsoft Sentinel,SIEM detection
Customer-Portal,app-06c7409,2026-06,720.4,0.0,0,876.55,App Service,API app P2v3
Customer-Portal,blob-0d44180,2026-06,0.0,2425.9,6064710,394.2,Blob Storage,Media content
Production-Main,vm-109b381,2026-06,941.2,0.0,0,1336.51,Virtual Machines,F4s v2 compute node
Analytics-Platform,aks-00be403,2026-06,461.8,0.0,0,692.73,AKS,Dev K8s cluster
Production-Secondary,ado-06e5155,2026-06,0.0,115.6,0,28.89,Azure DevOps,Artifacts storage
Finance-Systems,kv-0223506,2026-06,0.0,0.0,2796040,8.39,Key Vault,Secrets management
Data-Science,blob-0d06742,2026-06,0.0,2257.6,6020181,293.48,Blob Storage,Build artifacts
Mobile-Backend,vm-0caa975,2026-06,738.5,0.0,0,898.47,Virtual Machines,D4s v3 CI runner
Finance-Systems,eh-0ee6804,2026-06,617.2,0.0,25717168,281.6,Event Hubs,Standard throughput units
Partner-Integration,blob-03ae877,2026-06,0.0,3656.0,9749290,475.28,Blob Storage,Build artifacts
Finance-Systems,redis-0b0d589,2026-06,671.1,0.0,0,340.18,Azure Cache for Redis,Standard C2 cache
Customer-Portal,cosmos-0eb5141,2026-06,535.6,37.2,11159034,362.67,Cosmos DB,Config store
DR-Recovery,sqldb-088f209,2026-06,857.5,297.7,0,1434.86,SQL Database,Standard S3 production
Partner-Integration,azmon-05c4257,2026-06,0.0,263.8,35177263,373.77,Azure Monitor,Logs and metrics
Partner-Integration,sqldb-0cdc909,2026-06,1105.9,384.0,0,1850.57,SQL Database,Standard S3 production
Shared-Services,app-0c91462,2026-06,928.9,0.0,0,565.08,App Service,Web app P1v3
Customer-Portal,blob-025a526,2026-06,0.0,5468.4,0,546.84,Blob Storage,Security audit logs
Partner-Integration,azmon-0704778,2026-06,0.0,255.4,34046345,361.75,Azure Monitor,Logs and metrics
Shared-Services,cosmos-04a6756,2026-06,609.9,84.7,21177107,794.14,Cosmos DB,Event store
Production-Secondary,eh-006c756,2026-06,644.7,0.0,26861624,294.13,Event Hubs,Standard throughput units
Production-Secondary,blob-0a2b284,2026-06,0.0,2531.0,6327319,411.28,Blob Storage,Media content
Production-Secondary,app-0915380,2026-06,721.4,0.0,0,109.71,App Service,Web app B1
Data-Science,cosmos-0759587,2026-06,719.4,50.0,14989104,487.14,Cosmos DB,Config store
Customer-Portal,cosmos-0c5f842,2026-06,701.0,48.7,14604767,474.66,Cosmos DB,Config store
Security-Ops,sqldb-1117748,2026-06,892.0,61.9,0,185.4,SQL Database,Basic dev database
Partner-Integration,azmon-0a12660,2026-06,0.0,187.6,25022321,265.87,Azure Monitor,Logs and metrics
DevOps-Central,appi-0de6691,2026-06,0.0,0.0,16493584,206.17,Application Insights,Custom metrics
Production-Main,aks-0020880,2026-06,1162.1,0.0,0,1743.09,AKS,Staging K8s cluster
Production-Main,fd-100f700,2026-06,0.0,0.0,54566773,409.25,Front Door,Global load balancer
Partner-Integration,redis-0b16352,2026-06,689.8,0.0,0,349.67,Azure Cache for Redis,Standard C2 cache
DevOps-Central,app-00ec349,2026-06,998.0,0.0,0,151.79,App Service,Web app B1
DevOps-Central,vm-0fba688,2026-06,775.9,0.0,0,236.03,Virtual Machines,B2s development VM
Mobile-Backend,vm-0342261,2026-06,564.4,0.0,0,171.68,Virtual Machines,B2s development VM
Customer-Portal,acr-0430482,2026-06,0.0,276.2,552337,182.27,Container Registry,Docker image registry
Partner-Integration,sqldb-0a6e846,2026-06,783.9,544.3,0,3179.1,SQL Database,Premium P1 analytics
Production-Secondary,cosmos-068d137,2026-06,757.2,210.3,42068422,1709.03,Cosmos DB,User data store
Production-Secondary,redis-043b543,2026-06,954.8,0.0,0,484.02,Azure Cache for Redis,Standard C2 cache
Mobile-Backend,vm-0f2d973,2026-06,822.3,0.0,0,3001.54,Virtual Machines,E8s v3 memory-optimized
Production-Secondary,aks-0ef2938,2026-06,1299.3,0.0,0,1948.92,AKS,Staging K8s cluster
Production-Secondary,aks-0056966,2026-06,315.3,0.0,0,472.92,AKS,Dev K8s cluster
Partner-Integration,sb-0892421,2026-06,642.4,0.0,8922134,488.49,Service Bus,Premium messaging
Internal-Tools,blob-06fc172,2026-06,0.0,5998.0,0,599.8,Blob Storage,Security audit logs
DR-Recovery,redis-02f0691,2026-06,750.7,0.0,0,913.34,Azure Cache for Redis,Premium P1 cache
Shared-Services,app-0bad270,2026-06,1093.0,0.0,0,1329.78,App Service,API app P2v3
DevOps-Central,appi-102a552,2026-06,0.0,0.0,16753637,209.43,Application Insights,Custom metrics
Internal-Tools,blob-029a273,2026-06,0.0,11003.7,110037,330.11,Blob Storage,Backup storage
DevOps-Central,blob-05b0338,2026-06,0.0,8376.5,83765,251.29,Blob Storage,Backup storage
Internal-Tools,blob-05f5277,2026-06,0.0,4064.6,10838837,528.39,Blob Storage,Build artifacts
DR-Recovery,appi-0733593,2026-06,0.0,0.0,55521697,694.02,Application Insights,APM telemetry
Production-Secondary,appi-099b256,2026-06,0.0,0.0,41304002,516.3,Application Insights,APM telemetry
Data-Science,cosmos-0157534,2026-06,727.3,50.5,15152686,492.46,Cosmos DB,Config store
Production-Secondary,sentinel-006a297,2026-06,0.0,0.0,71656510,1791.41,Microsoft Sentinel,SIEM detection
DevOps-Central,kv-0b6f244,2026-06,0.0,0.0,397361,1.2,Key Vault,Certificate store
Production-Main,aks-07bf182,2026-06,1294.4,0.0,0,1941.61,AKS,Staging K8s cluster
Customer-Portal,app-0950773,2026-06,800.7,0.0,0,974.14,App Service,API app P2v3
Customer-Portal,eh-0f06905,2026-06,782.8,0.0,32617503,357.16,Event Hubs,Standard throughput units
Production-Secondary,acr-0066906,2026-06,0.0,221.7,443381,146.32,Container Registry,Docker image registry
Production-Main,vm-0572465,2026-06,616.7,0.0,0,375.16,Virtual Machines,D2s v3 utility server
Shared-Services,cosmos-10bd365,2026-06,757.0,105.1,26281927,985.58,Cosmos DB,Event store
Internal-Tools,redis-0ed3348,2026-06,597.6,0.0,0,302.97,Azure Cache for Redis,Standard C2 cache
Internal-Tools,vm-07f3327,2026-06,702.1,0.0,0,427.12,Virtual Machines,D2s v3 utility server
Data-Science,cosmos-0159320,2026-06,712.7,198.0,39597144,1608.63,Cosmos DB,User data store
Finance-Systems,func-107c756,2026-06,0.0,0.0,6417127,96.26,Azure Functions,API handlers
Finance-Systems,aks-0214143,2026-06,288.9,0.0,0,433.37,AKS,Dev K8s cluster
Finance-Systems,app-0227237,2026-06,952.2,0.0,0,1158.49,App Service,API app P2v3
Finance-Systems,ado-0925803,2026-06,442.2,0.0,0,221.1,Azure DevOps,Pipelines hosted
Finance-Systems,blob-020a462,2026-06,0.0,9396.3,93962,281.89,Blob Storage,Backup storage
Analytics-Platform,kv-05dc790,2026-06,0.0,0.0,1637731,4.91,Key Vault,Secrets management
Data-Science,blob-0d8d618,2026-06,0.0,2356.8,5892158,382.99,Blob Storage,Media content
Shared-Services,fd-0492244,2026-06,0.0,0.0,65628139,492.22,Front Door,Global load balancer
Mobile-Backend,sb-10ff514,2026-06,766.4,0.0,10644826,582.8,Service Bus,Premium messaging
Shared-Services,fd-1046720,2026-06,0.0,0.0,66447277,498.37,Front Door,Global load balancer
Customer-Portal,sentinel-110d988,2026-06,0.0,0.0,92631014,2315.78,Microsoft Sentinel,SIEM detection
Mobile-Backend,kv-033d920,2026-06,0.0,0.0,460253,1.38,Key Vault,Certificate store
Shared-Services,azmon-01be752,2026-06,0.0,225.8,30101152,319.82,Azure Monitor,Logs and metrics
Data-Science,cosmos-0158552,2026-06,748.8,104.0,25999079,974.97,Cosmos DB,Event store
DevOps-Central,app-0b0a111,2026-06,685.3,0.0,0,833.78,App Service,API app P2v3
Production-Secondary,app-0ca1591,2026-06,576.9,0.0,0,87.74,App Service,Web app B1
DevOps-Central,sentinel-1183697,2026-06,0.0,0.0,43381975,1084.55,Microsoft Sentinel,Log analytics
DevOps-Central,blob-096b361,2026-06,0.0,4282.4,0,428.24,Blob Storage,Security audit logs
Production-Secondary,kv-0a1f915,2026-06,0.0,0.0,2483699,7.45,Key Vault,Secrets management
Finance-Systems,blob-04ec237,2026-06,0.0,6955.2,69550,208.65,Blob Storage,Backup storage
Shared-Services,app-0707433,2026-06,1033.8,0.0,0,628.88,App Service,Web app P1v3
Partner-Integration,azmon-0b82239,2026-06,0.0,219.0,29205217,310.31,Azure Monitor,Logs and metrics
DevOps-Central,blob-0431268,2026-06,0.0,4942.0,0,494.2,Blob Storage,Security audit logs
Production-Secondary,app-0680416,2026-06,663.8,0.0,0,100.95,App Service,Web app B1
Customer-Portal,sqldb-0aef333,2026-06,624.8,434.0,0,2534.18,SQL Database,Premium P1 analytics
Production-Secondary,redis-1115354,2026-06,878.5,0.0,0,1068.83,Azure Cache for Redis,Premium P1 cache
Finance-Systems,sqldb-0fad517,2026-06,928.6,322.5,0,1553.79,SQL Database,Standard S3 production
DR-Recovery,fd-05f1355,2026-06,0.0,0.0,80280298,602.1,Front Door,Global load balancer
Security-Ops,sqldb-116a549,2026-06,949.5,65.9,0,197.35,SQL Database,Basic dev database
Production-Secondary,blob-0837822,2026-06,0.0,6827.8,2560431,362.72,Blob Storage,Data lake storage
Shared-Services,ado-01c4881,2026-06,0.0,96.0,0,24.01,Azure DevOps,Artifacts storage
DevOps-Central,aks-0e16624,2026-06,437.9,0.0,0,656.98,AKS,Dev K8s cluster
Mobile-Backend,sb-0b13801,2026-06,0.0,0.0,15056795,37.64,Service Bus,Standard messaging
Shared-Services,appi-0edc199,2026-06,0.0,0.0,42120459,526.51,Application Insights,APM telemetry
Production-Secondary,blob-0a70809,2026-06,0.0,16738.2,41845,133.9,Blob Storage,Archive tier
DevOps-Central,vm-0adb335,2026-06,703.6,0.0,0,1712.01,Virtual Machines,D8s v3 application server
Production-Secondary,app-0db8839,2026-06,616.6,0.0,0,93.77,App Service,Web app B1
Customer-Portal,eh-1049771,2026-06,0.0,533.8,0,133.46,Event Hubs,Capture to storage
Shared-Services,ado-0add561,2026-06,0.0,97.7,0,24.42,Azure DevOps,Artifacts storage
Shared-Services,aks-01c2470,2026-06,414.6,0.0,0,621.87,AKS,Dev K8s cluster
Production-Secondary,sqldb-09a8374,2026-06,474.8,164.9,0,794.47,SQL Database,Standard S3 production
Shared-Services,vm-0ea9500,2026-06,925.5,0.0,0,3378.21,Virtual Machines,E8s v3 memory-optimized
Shared-Services,fd-0768299,2026-06,0.0,0.0,65450200,490.89,Front Door,Global load balancer
Mobile-Backend,vm-081d742,2026-06,926.2,0.0,0,1126.89,Virtual Machines,D4s v3 CI runner
DevOps-Central,appi-076d459,2026-06,0.0,0.0,69809915,872.62,Application Insights,APM telemetry
Finance-Systems,aks-1127320,2026-06,253.5,0.0,0,380.2,AKS,Dev K8s cluster
Shared-Services,ado-01c3479,2026-06,564.2,0.0,0,282.08,Azure DevOps,Pipelines hosted
Production-Secondary,blob-0981146,2026-06,0.0,10821.0,108209,324.63,Blob Storage,Backup storage
Production-Secondary,blob-0488174,2026-06,0.0,2556.3,6816785,332.32,Blob Storage,Build artifacts
Finance-Systems,app-0548668,2026-06,1018.0,0.0,0,154.82,App Service,Web app B1
Partner-Integration,sqldb-0665143,2026-06,966.2,335.5,0,1616.74,SQL Database,Standard S3 production
Customer-Portal,sentinel-0682220,2026-06,0.0,0.0,52274287,1306.85,Microsoft Sentinel,Log analytics
Shared-Services,ado-0850519,2026-06,0.0,75.4,0,18.85,Azure DevOps,Artifacts storage
Partner-Integration,redis-0663905,2026-06,668.8,0.0,0,339.01,Azure Cache for Redis,Standard C2 cache
Production-Secondary,sqldb-006f710,2026-06,523.3,181.7,0,875.62,SQL Database,Standard S3 production
Production-Secondary,redis-0f93554,2026-06,1054.4,0.0,0,534.49,Azure Cache for Redis,Standard C2 cache
Production-Main,aks-0ee4408,2026-06,1229.0,0.0,0,1843.4,AKS,Staging K8s cluster
DevOps-Central,vm-00dd933,2026-06,980.4,0.0,0,596.4,Virtual Machines,D2s v3 utility server
Production-Main,vm-071d819,2026-06,766.6,0.0,0,1865.25,Virtual Machines,D8s v3 application server
Customer-Portal,fd-048a408,2026-06,0.0,0.0,71956257,539.67,Front Door,Global load balancer
DR-Recovery,fd-0d5c299,2026-06,0.0,0.0,83812162,628.59,Front Door,Global load balancer
Production-Secondary,sqldb-0772825,2026-06,485.1,168.5,0,811.8,SQL Database,Standard S3 production
Customer-Portal,eh-0467686,2026-06,0.0,629.2,0,157.3,Event Hubs,Capture to storage
Mobile-Backend,vm-08ed373,2026-06,542.7,0.0,0,4952.29,Virtual Machines,NC6s v3 GPU VM
DevOps-Central,aks-10dc270,2026-06,331.2,0.0,0,496.75,AKS,Dev K8s cluster
DR-Recovery,eh-0842602,2026-06,0.0,468.3,0,117.06,Event Hubs,Capture to storage
Analytics-Platform,eh-09e2725,2026-06,0.0,417.9,0,104.49,Event Hubs,Capture to storage
Partner-Integration,fd-03b3380,2026-06,0.0,0.0,71594625,536.96,Front Door,Global load balancer
Production-Secondary,blob-0e0e879,2026-06,0.0,14664.3,36660,117.31,Blob Storage,Archive tier
Internal-Tools,aks-0697488,2026-06,248.4,0.0,0,372.63,AKS,Dev K8s cluster
Customer-Portal,sb-08f0351,2026-06,701.6,0.0,9743314,533.45,Service Bus,Premium messaging
Customer-Portal,redis-0d24250,2026-06,985.3,0.0,0,499.52,Azure Cache for Redis,Standard C2 cache
Finance-Systems,sentinel-0ce7822,2026-06,0.0,0.0,99164237,2479.1,Microsoft Sentinel,SIEM detection
Shared-Services,func-1016313,2026-06,0.0,0.0,3383535,50.76,Azure Functions,Webhook processor
Production-Secondary,redis-0c21685,2026-06,980.1,0.0,0,1192.45,Azure Cache for Redis,Premium P1 cache
Production-Secondary,sqldb-06a0823,2026-06,600.6,208.6,0,1004.99,SQL Database,Standard S3 production
Internal-Tools,aks-04c1633,2026-06,1419.1,0.0,0,2128.63,AKS,Staging K8s cluster
Production-Secondary,app-1121363,2026-06,1290.5,0.0,0,785.0,App Service,Web app P1v3
Production-Main,aks-0b11718,2026-06,584.0,0.0,0,2628.32,AKS,Production K8s cluster
Production-Secondary,sqldb-04cb316,2026-06,465.8,161.8,0,779.51,SQL Database,Standard S3 production
Finance-Systems,sentinel-0984463,2026-06,0.0,0.0,126414339,3160.35,Microsoft Sentinel,SIEM detection
Production-Secondary,acr-0a81124,2026-06,0.0,243.5,487055,160.73,Container Registry,Docker image registry
DevOps-Central,blob-060f173,2026-06,0.0,4565.8,0,456.58,Blob Storage,Security audit logs
DevOps-Central,appi-0710252,2026-06,0.0,0.0,55774901,697.18,Application Insights,APM telemetry
Mobile-Backend,sqldb-0f79775,2026-06,884.1,307.0,0,1479.42,SQL Database,Standard S3 production
Data-Science,blob-0fc5519,2026-06,0.0,10701.3,107011,321.04,Blob Storage,Backup storage
Production-Secondary,aks-05a2662,2026-06,338.4,0.0,0,507.64,AKS,Dev K8s cluster
DevOps-Central,sentinel-0844469,2026-06,0.0,0.0,44059364,1101.49,Microsoft Sentinel,Log analytics
Shared-Services,fd-0c6c604,2026-06,0.0,0.0,66694460,500.22,Front Door,Global load balancer
Finance-Systems,blob-0bfe263,2026-06,0.0,6930.0,69298,207.9,Blob Storage,Backup storage
Production-Secondary,acr-0cdd824,2026-06,0.0,212.5,424928,140.23,Container Registry,Docker image registry
Mobile-Backend,vm-09c7745,2026-06,816.6,0.0,0,993.49,Virtual Machines,D4s v3 CI runner
Shared-Services,app-0e7a761,2026-06,1037.7,0.0,0,1262.53,App Service,API app P2v3
Shared-Services,kv-01cc830,2026-06,0.0,0.0,410429,1.23,Key Vault,Certificate store
Analytics-Platform,kv-06cd417,2026-06,0.0,0.0,1821425,5.46,Key Vault,Secrets management
Production-Secondary,blob-0fe2396,2026-06,0.0,2510.9,6695483,326.4,Blob Storage,Build artifacts
Production-Main,vm-0038294,2026-06,629.3,0.0,0,765.68,Virtual Machines,D4s v3 CI runner
Customer-Portal,cosmos-0ea0245,2026-06,615.3,85.5,21363719,801.13,Cosmos DB,Event store
Shared-Services,kv-0adc624,2026-06,0.0,0.0,390650,1.17,Key Vault,Certificate store
Partner-Integration,redis-0d95457,2026-06,631.5,0.0,0,768.42,Azure Cache for Redis,Premium P1 cache
Mobile-Backend,acr-0340268,2026-06,0.0,202.2,404393,133.45,Container Registry,Docker image registry
Production-Main,cosmos-0e2c318,2026-06,737.2,102.4,25598104,959.93,Cosmos DB,Event store
Production-Main,sentinel-0deb616,2026-06,0.0,0.0,77006720,1925.17,Microsoft Sentinel,SIEM detection
Shared-Services,vm-0fe0559,2026-06,988.9,0.0,0,1203.18,Virtual Machines,D4s v3 CI runner
Customer-Portal,vm-0b93566,2026-06,864.3,0.0,0,262.89,Virtual Machines,B2s development VM
Mobile-Backend,aks-046c326,2026-06,1002.7,0.0,0,1504.06,AKS,Staging K8s cluster
Shared-Services,sb-111b141,2026-06,577.9,0.0,8027019,439.47,Service Bus,Premium messaging
Partner-Integration,sb-08a4958,2026-06,606.9,0.0,8429681,461.52,Service Bus,Premium messaging
DevOps-Central,redis-0ff6273,2026-06,696.2,0.0,0,847.07,Azure Cache for Redis,Premium P1 cache
Customer-Portal,blob-09de529,2026-06,0.0,5990.2,0,599.02,Blob Storage,Security audit logs
Shared-Services,vm-0b6d990,2026-06,614.6,0.0,0,2243.19,Virtual Machines,E8s v3 memory-optimized
Mobile-Backend,sqldb-0c69847,2026-06,740.3,257.1,0,1238.85,SQL Database,Standard S3 production
DR-Recovery,azmon-02f9948,2026-06,0.0,266.4,35519031,377.39,Azure Monitor,Logs and metrics
Partner-Integration,azmon-0f4d156,2026-06,0.0,229.4,30584587,324.96,Azure Monitor,Logs and metrics
Customer-Portal,sb-0267468,2026-06,0.0,0.0,18317911,45.79,Service Bus,Standard messaging
Production-Secondary,app-0df0743,2026-06,667.4,0.0,0,101.51,App Service,Web app B1
Production-Secondary,blob-0afc132,2026-06,0.0,2712.5,6781179,440.78,Blob Storage,Media content
Analytics-Platform,aks-0a79530,2026-06,1225.2,0.0,0,1837.85,AKS,Staging K8s cluster
Finance-Systems,blob-0f5c178,2026-06,0.0,2239.1,5597745,363.85,Blob Storage,Media content
Mobile-Backend,vm-0f40851,2026-06,933.5,0.0,0,1135.76,Virtual Machines,D4s v3 CI runner
Finance-Systems,cosmos-09b9465,2026-06,598.5,166.1,33247180,1350.66,Cosmos DB,User data store
Customer-Portal,blob-0c6b861,2026-06,0.0,4377.8,0,437.78,Blob Storage,Security audit logs
DevOps-Central,vm-1176875,2026-06,834.7,0.0,0,253.91,Virtual Machines,B2s development VM
DevOps-Central,aks-0b9b612,2026-06,377.9,0.0,0,566.84,AKS,Dev K8s cluster
Data-Science,fd-0551933,2026-06,0.0,0.0,37511988,281.34,Front Door,Global load balancer
Finance-Systems,cosmos-021a338,2026-06,617.7,42.9,12869552,418.26,Cosmos DB,Config store
Customer-Portal,blob-09e3556,2026-06,0.0,2680.0,6699988,435.49,Blob Storage,Media content
DR-Recovery,appi-0b58118,2026-06,0.0,0.0,16972267,212.16,Application Insights,Custom metrics
Mobile-Backend,vm-0433725,2026-06,816.2,0.0,0,1159.0,Virtual Machines,F4s v2 compute node
Shared-Services,cosmos-05aa586,2026-06,661.8,91.9,22978062,861.68,Cosmos DB,Event store
Mobile-Backend,acr-0d36117,2026-06,0.0,232.2,464312,153.22,Container Registry,Docker image registry
Finance-Systems,blob-1130845,2026-06,0.0,9710.3,97101,291.31,Blob Storage,Backup storage
DR-Recovery,cosmos-02ee235,2026-06,857.5,238.2,47639942,1935.37,Cosmos DB,User data store
Customer-Portal,acr-0939368,2026-06,0.0,233.8,467565,154.3,Container Registry,Docker image registry
Shared-Services,sb-07c5344,2026-06,527.7,0.0,7330275,401.33,Service Bus,Premium messaging
Production-Main,app-08b7973,2026-06,531.7,0.0,0,646.84,App Service,API app P2v3
Mobile-Backend,azmon-0d40534,2026-06,0.0,276.5,36867874,391.72,Azure Monitor,Logs and metrics
Analytics-Platform,eh-0d75846,2026-06,630.6,0.0,26274542,287.71,Event Hubs,Standard throughput units
Production-Secondary,kv-0ae0339,2026-06,0.0,0.0,2197479,6.59,Key Vault,Secrets management
DevOps-Central,cosmos-00ed713,2026-06,697.3,96.9,24212755,907.98,Cosmos DB,Event store
Customer-Portal,blob-0c5b230,2026-06,0.0,4762.0,0,476.2,Blob Storage,Security audit logs
Mobile-Backend,sb-0ad6340,2026-06,0.0,0.0,14829328,37.07,Service Bus,Standard messaging
Production-Secondary,aks-0bff445,2026-06,1455.6,0.0,0,2183.41,AKS,Staging K8s cluster
Shared-Services,func-01c9726,2026-06,0.0,0.0,10123911,151.86,Azure Functions,Event processors
Customer-Portal,app-026b326,2026-06,787.5,0.0,0,958.14,App Service,API app P2v3
Production-Secondary,appi-0059233,2026-06,0.0,0.0,46674478,583.43,Application Insights,APM telemetry
Mobile-Backend,vm-0cf4927,2026-06,933.3,0.0,0,2271.15,Virtual Machines,D8s v3 application server
Mobile-Backend,vm-0b72180,2026-06,744.2,0.0,0,452.68,Virtual Machines,D2s v3 utility server
DevOps-Central,vm-00e0218,2026-06,631.2,0.0,0,1535.94,Virtual Machines,D8s v3 application server
Customer-Portal,app-0f24784,2026-06,686.4,0.0,0,835.1,App Service,API app P2v3
Production-Main,blob-095d284,2026-06,0.0,2609.5,6958578,339.23,Blob Storage,Build artifacts
Customer-Portal,cosmos-06d4992,2026-06,762.3,52.9,15881085,516.14,Cosmos DB,Config store
DevOps-Central,app-0c88463,2026-06,945.0,0.0,0,143.72,App Service,Web app B1
