lineItem/UsageAccountId,lineItem/ResourceId,bill/BillingPeriodStartDate,lineItem/UsageAmount_ComputeHours,lineItem/UsageAmount_StorageGB,lineItem/UsageAmount_APIRequests,lineItem/UnblendedCost,product/ProductName,lineItem/LineItemDescription
Internal-Tools,elb-02b9187,2026-06,968.0,0.0,67219164,419.45,ELB,Network load balancer
Marketing-Platform,sm-0b6e297,2026-06,0.0,0.0,873912,3.49,Secrets Manager,Application secrets
Production-Secondary,elb-0937293,2026-06,721.5,0.0,30063552,218.86,ELB,Application load balancer
Shared-Services,rds-0c77272,2026-06,577.8,160.5,0,521.55,RDS,db.t3.large development DB
Compliance-Audit,vpn-0689714,2026-06,451.8,0.0,0,229.01,VPN Gateway,Site-to-site VPN
Compliance-Audit,i-042e877,2026-06,622.7,0.0,0,1079.38,EC2,r5.xlarge cache server
Shared-Services,nat-04f3423,2026-06,660.4,0.0,0,301.34,NAT Gateway,Production VPC NAT
Finance-Systems,rds-0766891,2026-06,611.3,849.0,0,2716.71,RDS,db.r5.2xlarge Aurora cluster
Production-Main,cf-0003320,2026-06,0.0,0.0,107341192,536.71,CloudFront,CDN media distribution
Customer-Portal,i-0bd7434,2026-06,617.6,0.0,0,45.08,EC2,t3.micro bastion host
Marketing-Platform,lam-063a502,2026-06,0.0,0.0,19300052,135.1,Lambda,Data transformer
Mobile-Backend,kin-056c185,2026-06,696.9,0.0,29036390,423.93,Kinesis,Data stream ingestion
Production-Main,i-04f1220,2026-06,658.4,0.0,0,2282.25,EC2,m5.2xlarge batch processor
Security-Ops,vpn-0d67108,2026-06,617.6,0.0,0,156.54,VPN Gateway,Client VPN endpoint
Edge-Network,s3-0ea4486,2026-06,0.0,14462.2,144621,332.63,S3,Backup storage bucket
Internal-Tools,ebs-05fb936,2026-06,0.0,1329.9,0,166.24,EBS,gp3 volumes production
Compliance-Audit,s3-0b6b490,2026-06,0.0,3983.0,1991465,149.36,S3,Analytics export bucket
Edge-Network,s3-06ff262,2026-06,0.0,1004.0,2008056,87.84,S3,Artifact storage
Finance-Systems,s3-0a14417,2026-06,0.0,6739.6,67396,155.01,S3,Backup storage bucket
Compliance-Audit,ecs-0387740,2026-06,459.6,0.0,0,838.81,ECS,Fargate worker cluster
QA-Testing,lam-10dd814,2026-06,0.0,0.0,3207482,22.45,Lambda,Webhook processor
Marketing-Platform,ddb-0bfd934,2026-06,655.0,45.5,72779459,511.73,DynamoDB,Session store table
Shared-Services,rds-04e1616,2026-06,660.3,183.4,0,596.05,RDS,db.t3.large development DB
Mobile-Backend,ebs-10e8663,2026-06,0.0,2867.0,0,129.02,EBS,st1 volumes archive
Production-Main,ecs-0bb3908,2026-06,365.5,0.0,0,666.92,ECS,Fargate worker cluster
Internal-Tools,ses-02a7914,2026-06,0.0,0.0,636637,0.76,SES,Marketing email
Compliance-Audit,s3-038f677,2026-06,0.0,3857.9,1928932,144.67,S3,Analytics export bucket
Customer-Portal,i-028f489,2026-06,799.3,0.0,0,693.27,EC2,t3.large application server
Edge-Network,sns-0bbd511,2026-06,0.0,0.0,13751864,6.88,SNS,Alert notifications
Finance-Systems,s3-09d3333,2026-06,0.0,9508.2,594264,237.7,S3,Log archive bucket
Compliance-Audit,i-0e90994,2026-06,690.7,0.0,0,598.61,EC2,m5.large monitoring server
ML-Training,rds-1056958,2026-06,622.8,692.0,0,1453.15,RDS,db.m5.xlarge analytics DB
Marketing-Platform,ec-07ee977,2026-06,670.2,0.0,0,482.55,ElastiCache,Redis production cluster
QA-Testing,elb-1159984,2026-06,660.2,0.0,9168813,133.49,ELB,Classic load balancer
Edge-Network,elb-0512305,2026-06,819.9,0.0,11386441,165.79,ELB,Classic load balancer
Marketing-Platform,ddb-0fdb347,2026-06,557.1,38.8,61903293,435.26,DynamoDB,Session store table
Production-Secondary,elb-05c2651,2026-06,657.2,0.0,27383079,199.35,ELB,Application load balancer
ML-Training,lam-0fbc967,2026-06,0.0,0.0,51246508,356.17,Lambda,API gateway handler
Compliance-Audit,i-0c4f200,2026-06,899.2,0.0,0,65.65,EC2,t3.micro bastion host
Production-Main,lam-1143684,2026-06,0.0,0.0,39071387,273.51,Lambda,Data transformer
Internal-Tools,lam-0d49445,2026-06,0.0,0.0,21319488,149.23,Lambda,Data transformer
Marketing-Platform,ec-09a2710,2026-06,717.9,0.0,0,516.87,ElastiCache,Redis production cluster
Production-Secondary,elb-0ab7130,2026-06,567.3,0.0,23636291,172.07,ELB,Application load balancer
Shared-Services,rds-01a1956,2026-06,535.7,372.0,0,1060.15,RDS,db.r5.large PostgreSQL replica
Production-Secondary,elb-08b6221,2026-06,719.8,0.0,29990102,218.33,ELB,Application load balancer
Internal-Tools,ec-04d3686,2026-06,479.9,0.0,0,345.51,ElastiCache,Redis production cluster
Marketing-Platform,eks-01d3629,2026-06,369.4,0.0,0,1108.17,EKS,Staging K8s cluster
Mobile-Backend,sqs-05af649,2026-06,0.0,0.0,332635,0.17,SQS,Dead letter queue
Compliance-Audit,rds-0513820,2026-06,593.6,412.3,0,1525.44,RDS,db.r5.xlarge PostgreSQL primary
Customer-Portal,ses-117c830,2026-06,0.0,0.0,698419,0.85,SES,Marketing email
ML-Training,sns-0366281,2026-06,0.0,0.0,9385313,4.69,SNS,Alert notifications
Marketing-Platform,rds-0420438,2026-06,427.0,118.7,0,504.11,RDS,db.t3.medium MySQL staging
Compliance-Audit,s3-0477403,2026-06,0.0,740.2,1480411,64.77,S3,Artifact storage
Compliance-Audit,elb-0d71740,2026-06,439.9,0.0,30546819,190.61,ELB,Network load balancer
QA-Testing,ses-06cb257,2026-06,0.0,0.0,2408162,2.89,SES,Transactional email
Compliance-Audit,rds-0393803,2026-06,990.7,688.0,0,1960.71,RDS,db.r5.large PostgreSQL replica
Compliance-Audit,i-07a7252,2026-06,814.3,0.0,0,705.77,EC2,m5.large monitoring server
DevOps-Central,ddb-00ce395,2026-06,520.5,72.3,108427184,813.2,DynamoDB,Cache table
Security-Ops,vpn-017d779,2026-06,545.1,0.0,0,138.16,VPN Gateway,Client VPN endpoint
Security-Ops,ecs-0658518,2026-06,160.9,0.0,0,293.72,ECS,Fargate batch cluster
ML-Training,i-0dc9655,2026-06,648.6,0.0,0,2248.51,EC2,r5.2xlarge database server
Customer-Portal,elb-0286969,2026-06,789.6,0.0,32900614,239.52,ELB,Application load balancer
Production-Main,lam-0009821,2026-06,0.0,0.0,33124395,231.87,Lambda,Data transformer
Partner-Integration,rs-03c6136,2026-06,0.0,0.0,4858962,242.95,Redshift,Spectrum queries
Security-Ops,ecs-101c745,2026-06,484.7,0.0,0,884.65,ECS,Fargate worker cluster
Marketing-Platform,r53-0d41208,2026-06,0.0,0.0,46611760,69.91,Route 53,DNS hosting
Internal-Tools,lam-0b1d283,2026-06,0.0,0.0,8793374,61.55,Lambda,Notification dispatcher
Edge-Network,s3-101a960,2026-06,0.0,12967.3,129671,298.25,S3,Backup storage bucket
Customer-Portal,vpn-0f7d948,2026-06,1401.0,0.0,0,355.12,VPN Gateway,Client VPN endpoint
Production-Main,lam-08ec165,2026-06,0.0,0.0,34073207,238.51,Lambda,Data transformer
Compliance-Audit,kin-0fd9497,2026-06,749.1,0.0,31208581,455.65,Kinesis,Data stream ingestion
ML-Training,rs-1151520,2026-06,614.9,1708.2,0,3117.56,Redshift,Data warehouse cluster
Data-Science,nat-0602814,2026-06,502.8,0.0,0,114.71,NAT Gateway,Staging VPC NAT
Edge-Network,elb-060d300,2026-06,882.3,0.0,12254095,178.42,ELB,Classic load balancer
Marketing-Platform,rs-0db7790,2026-06,0.0,0.0,6940754,347.03,Redshift,Spectrum queries
DevOps-Central,kin-0bc2586,2026-06,958.9,0.0,26637104,388.91,Kinesis,Firehose delivery
Finance-Systems,s3-109f584,2026-06,0.0,12299.6,2459918,430.48,S3,Data lake raw zone
QA-Testing,lam-0cce559,2026-06,0.0,0.0,4516728,31.83,Lambda,Image resizer
Marketing-Platform,ddb-0c73535,2026-06,505.9,7.0,3513430,61.49,DynamoDB,Config store table
Customer-Portal,vpn-0d53194,2026-06,891.8,0.0,0,226.03,VPN Gateway,Client VPN endpoint
Data-Science,rds-0135326,2026-06,731.8,813.1,0,1707.56,RDS,db.m5.xlarge analytics DB
Internal-Tools,sqs-02af753,2026-06,0.0,0.0,53791709,26.9,SQS,Order processing queue
Production-Secondary,i-0f80736,2026-06,1255.4,0.0,0,1088.88,EC2,t3.large application server
Production-Secondary,i-007d734,2026-06,628.9,0.0,0,2180.31,EC2,m5.2xlarge batch processor
Customer-Portal,elb-04a4272,2026-06,796.4,0.0,11062109,161.06,ELB,Classic load balancer
Internal-Tools,ec-0940670,2026-06,485.6,0.0,0,349.59,ElastiCache,Redis production cluster
Edge-Network,ebs-0314161,2026-06,0.0,170.2,0,21.28,EBS,gp3 volumes staging
Finance-Systems,s3-0d74264,2026-06,0.0,7907.1,79070,181.86,S3,Backup storage bucket
Compliance-Audit,i-1059858,2026-06,849.2,0.0,0,736.04,EC2,m5.large monitoring server
Partner-Integration,rds-056b126,2026-06,912.7,633.8,0,1806.3,RDS,db.r5.large PostgreSQL replica
Compliance-Audit,rs-0ab9836,2026-06,655.1,1819.6,0,3320.71,Redshift,Data warehouse cluster
Finance-Systems,s3-0591832,2026-06,0.0,5539.2,8862827,404.37,S3,Media content bucket
Data-Science,i-013c432,2026-06,585.3,0.0,0,2028.97,EC2,m5.2xlarge batch processor
ML-Training,rs-0363157,2026-06,523.1,1453.1,0,2652.0,Redshift,Data warehouse cluster
Edge-Network,ebs-0f39725,2026-06,0.0,131.8,0,16.48,EBS,gp3 volumes staging
Finance-Systems,rds-0f26468,2026-06,820.8,912.1,0,1915.34,RDS,db.m5.xlarge analytics DB
ML-Training,rs-1068403,2026-06,522.1,1450.3,0,2646.9,Redshift,Data warehouse cluster
Compliance-Audit,s3-0864751,2026-06,0.0,13103.4,2620676,458.62,S3,Data lake raw zone
Internal-Tools,lam-02c7649,2026-06,0.0,0.0,1259651,9.45,Lambda,Cron job runner
Internal-Tools,s3-102e326,2026-06,0.0,4325.8,6921070,315.77,S3,Media content bucket
Internal-Tools,ses-02a8789,2026-06,0.0,0.0,2513063,3.02,SES,Transactional email
Marketing-Platform,rds-0dec903,2026-06,679.7,472.0,0,1345.22,RDS,db.r5.large PostgreSQL replica
Partner-Integration,rs-0af6242,2026-06,666.0,1850.0,0,3376.34,Redshift,Data warehouse cluster
Edge-Network,sns-065d432,2026-06,0.0,0.0,11463486,5.73,SNS,Alert notifications
Partner-Integration,elb-0534422,2026-06,486.8,0.0,20283696,147.66,ELB,Application load balancer
Compliance-Audit,sns-07bc236,2026-06,0.0,0.0,17912912,8.95,SNS,Event fanout topic
Customer-Portal,i-0292184,2026-06,863.4,0.0,0,748.29,EC2,m5.large monitoring server
Finance-Systems,eks-0458148,2026-06,1054.9,0.0,0,3164.63,EKS,Production K8s cluster
Marketing-Platform,ddb-01d9664,2026-06,602.9,41.9,66992907,471.04,DynamoDB,Session store table
Compliance-Audit,elb-0755271,2026-06,834.0,0.0,34749315,252.97,ELB,Application load balancer
Compliance-Audit,vpn-113e883,2026-06,633.1,0.0,0,160.48,VPN Gateway,Client VPN endpoint
Customer-Portal,s3-09c9825,2026-06,0.0,21639.4,4327881,757.38,S3,Data lake raw zone
Edge-Network,sns-10c8578,2026-06,0.0,0.0,10165001,5.08,SNS,Alert notifications
Marketing-Platform,ddb-0f33123,2026-06,610.4,42.4,67828191,476.92,DynamoDB,Session store table
Production-Main,r53-0407779,2026-06,0.0,0.0,65325091,97.99,Route 53,DNS hosting
Security-Ops,ses-0c0f585,2026-06,0.0,0.0,2225896,2.67,SES,Transactional email
Marketing-Platform,ddb-050e790,2026-06,664.5,9.2,4614722,80.76,DynamoDB,Config store table
QA-Testing,elb-03e7273,2026-06,801.2,0.0,33383549,243.03,ELB,Application load balancer
Partner-Integration,rds-0f16278,2026-06,793.1,550.8,0,1569.68,RDS,db.r5.large PostgreSQL replica
Production-Main,s3-0eb8776,2026-06,0.0,1826.8,10960969,456.71,S3,Production asset storage
Production-Main,r53-0a71797,2026-06,0.0,0.0,14455165,21.69,Route 53,Health checks
Marketing-Platform,nat-052d993,2026-06,891.0,0.0,0,203.25,NAT Gateway,Dev VPC NAT
Partner-Integration,elb-108e748,2026-06,809.8,0.0,11247933,163.76,ELB,Classic load balancer
Production-Main,cf-10fc798,2026-06,0.0,0.0,47940739,239.7,CloudFront,CDN API distribution
Customer-Portal,elb-054e407,2026-06,857.2,0.0,35716902,260.02,ELB,Application load balancer
Internal-Tools,ebs-02aa908,2026-06,0.0,240.1,0,30.02,EBS,gp3 volumes staging
Data-Science,i-0c45831,2026-06,748.7,0.0,0,1298.32,EC2,m5.xlarge web server
Security-Ops,sqs-0a29511,2026-06,0.0,0.0,45941641,22.97,SQS,Event notification queue
Partner-Integration,eks-093a354,2026-06,449.1,0.0,0,1347.23,EKS,Staging K8s cluster
Customer-Portal,s3-0b03411,2026-06,0.0,19214.2,3842852,672.5,S3,Data lake raw zone
Production-Main,i-04c9242,2026-06,406.6,0.0,0,1179.19,EC2,c5.2xlarge HPC node
Compliance-Audit,s3-0e75150,2026-06,0.0,13138.8,2627745,459.86,S3,Data lake raw zone
Production-Main,s3-0bb9469,2026-06,0.0,10476.8,654796,261.92,S3,Log archive bucket
Security-Ops,ecs-0b43950,2026-06,190.9,0.0,0,348.5,ECS,Fargate batch cluster
Mobile-Backend,kin-032c685,2026-06,920.3,0.0,25563957,373.23,Kinesis,Firehose delivery
Marketing-Platform,rds-0ee5106,2026-06,677.8,188.3,0,611.92,RDS,db.t3.large development DB
Partner-Integration,cf-0cd9510,2026-06,0.0,0.0,42360060,211.8,CloudFront,CDN API distribution
DevOps-Central,kin-0fc6673,2026-06,609.4,0.0,25390983,370.7,Kinesis,Data stream ingestion
Production-Main,lam-0008470,2026-06,0.0,0.0,59391730,412.77,Lambda,API gateway handler
Mobile-Backend,ebs-032f576,2026-06,0.0,3741.2,0,168.36,EBS,st1 volumes archive
Customer-Portal,i-0d4e952,2026-06,466.9,0.0,0,34.08,EC2,t3.micro bastion host
ML-Training,ebs-0841189,2026-06,0.0,667.7,0,417.25,EBS,io2 volumes database
Compliance-Audit,ec-04b0887,2026-06,645.9,0.0,0,465.05,ElastiCache,Redis production cluster
Shared-Services,ec-0b20815,2026-06,704.0,0.0,0,253.41,ElastiCache,Redis staging cluster
Data-Science,i-0fa7215,2026-06,697.4,0.0,0,604.44,EC2,m5.large monitoring server
ML-Training,ebs-0f7f128,2026-06,0.0,647.2,0,404.42,EBS,io2 volumes database
ML-Training,ec-0375244,2026-06,976.1,0.0,0,702.79,ElastiCache,Redis production cluster
Compliance-Audit,s3-0bed504,2026-06,0.0,12936.4,2587254,452.77,S3,Data lake raw zone
Production-Main,r53-0c3e737,2026-06,0.0,0.0,10944215,16.42,Route 53,Health checks
Finance-Systems,elb-1055185,2026-06,496.9,0.0,6902020,100.49,ELB,Classic load balancer
Production-Secondary,s3-08f4922,2026-06,0.0,5244.5,8391156,382.84,S3,Media content bucket
Production-Secondary,i-0fb0145,2026-06,883.5,0.0,0,766.36,EC2,t3.large application server
Edge-Network,cf-088b275,2026-06,0.0,0.0,185075496,925.38,CloudFront,CDN media distribution
ML-Training,rs-1153734,2026-06,0.0,0.0,3906462,195.33,Redshift,Spectrum queries
DevOps-Central,kin-00c9161,2026-06,790.6,0.0,21960812,320.63,Kinesis,Firehose delivery
Data-Science,i-0139251,2026-06,666.3,0.0,0,1155.46,EC2,m5.xlarge web server
Compliance-Audit,rds-0be3189,2026-06,828.1,575.1,0,1638.93,RDS,db.r5.large PostgreSQL replica
Marketing-Platform,i-0a0a518,2026-06,966.8,0.0,0,70.58,EC2,t3.micro bastion host
DevOps-Central,ebs-04a0171,2026-06,0.0,406.0,0,253.74,EBS,io2 volumes database
Edge-Network,s3-06d1496,2026-06,0.0,53.6,26806320,174.23,S3,Static website hosting
Compliance-Audit,ses-0412488,2026-06,0.0,0.0,1394334,1.67,SES,Transactional email
Marketing-Platform,lam-0815639,2026-06,0.0,0.0,16399437,114.79,Lambda,Data transformer
Edge-Network,vpn-0ce6719,2026-06,511.9,0.0,0,259.51,VPN Gateway,Site-to-site VPN
QA-Testing,lam-03dd851,2026-06,0.0,0.0,31629900,219.83,Lambda,API gateway handler
Security-Ops,s3-087b902,2026-06,0.0,5739.4,358708,143.48,S3,Log archive bucket
Marketing-Platform,lam-01cf664,2026-06,0.0,0.0,3787689,26.51,Lambda,Webhook processor
Shared-Services,rds-07e6132,2026-06,623.5,173.2,0,562.87,RDS,db.t3.large development DB
Production-Main,lam-04f0908,2026-06,0.0,0.0,18269191,127.88,Lambda,Event processor
Internal-Tools,elb-0796570,2026-06,486.6,0.0,20276077,147.61,ELB,Application load balancer
Partner-Integration,sm-04dc286,2026-06,0.0,0.0,1419492,5.68,Secrets Manager,Application secrets
ML-Training,sqs-0fc9335,2026-06,0.0,0.0,579349,0.29,SQS,Dead letter queue
Compliance-Audit,s3-085f937,2026-06,0.0,14563.6,2912700,509.72,S3,Data lake raw zone
Internal-Tools,nat-1021535,2026-06,540.0,0.0,0,123.2,NAT Gateway,Dev VPC NAT
Marketing-Platform,ddb-0a83584,2026-06,550.0,38.3,61107955,429.66,DynamoDB,Session store table
Compliance-Audit,elb-0384685,2026-06,529.0,0.0,36737240,229.24,ELB,Network load balancer
QA-Testing,elb-0d43130,2026-06,865.7,0.0,36070002,262.59,ELB,Application load balancer
Data-Science,i-013a381,2026-06,537.1,0.0,0,930.98,EC2,r5.xlarge cache server
Marketing-Platform,lam-0906533,2026-06,0.0,0.0,1040002,7.8,Lambda,Cron job runner
Internal-Tools,rds-0757370,2026-06,537.9,597.6,0,1254.97,RDS,db.m5.xlarge analytics DB
Compliance-Audit,s3-0fec630,2026-06,0.0,2970.0,1484997,111.37,S3,Analytics export bucket
Customer-Portal,i-0f9b989,2026-06,535.9,0.0,0,39.11,EC2,t3.micro bastion host
Marketing-Platform,rs-0872178,2026-06,553.1,1536.4,0,2803.92,Redshift,Data warehouse cluster
Internal-Tools,rds-09b5720,2026-06,640.0,444.5,0,1644.35,RDS,db.r5.xlarge PostgreSQL primary
Partner-Integration,rs-0ac2999,2026-06,948.9,2635.7,0,4810.36,Redshift,Data warehouse cluster
Internal-Tools,ebs-02ac590,2026-06,0.0,1393.5,0,174.19,EBS,gp3 volumes production
Compliance-Audit,rds-0396180,2026-06,744.0,826.7,0,1736.08,RDS,db.m5.xlarge analytics DB
Security-Ops,s3-0efa390,2026-06,0.0,4855.6,303474,121.39,S3,Log archive bucket
Compliance-Audit,s3-0b30830,2026-06,0.0,3468.5,1734254,130.06,S3,Analytics export bucket
QA-Testing,elb-0e25643,2026-06,792.8,0.0,11011327,160.32,ELB,Classic load balancer
Security-Ops,s3-06cc595,2026-06,0.0,5428.6,339286,135.71,S3,Log archive bucket
Production-Secondary,ecs-0598501,2026-06,353.2,0.0,0,644.58,ECS,Fargate worker cluster
Customer-Portal,elb-111f752,2026-06,557.4,0.0,38705656,241.52,ELB,Network load balancer
Security-Ops,ecs-018c343,2026-06,563.3,0.0,0,1027.95,ECS,Fargate API cluster
DevOps-Central,ddb-0681556,2026-06,992.4,13.7,6891912,120.6,DynamoDB,Config store table
Production-Main,s3-0e4d988,2026-06,0.0,2108.8,12652937,527.21,S3,Production asset storage
Compliance-Audit,elb-0e81808,2026-06,566.1,0.0,39315360,245.33,ELB,Network load balancer
Security-Ops,ec-08b0776,2026-06,627.1,0.0,0,225.78,ElastiCache,Redis staging cluster
Shared-Services,rds-1103155,2026-06,533.9,148.3,0,481.92,RDS,db.t3.large development DB
ML-Training,rds-0377190,2026-06,588.6,408.8,0,1512.41,RDS,db.r5.xlarge PostgreSQL primary
Internal-Tools,ec-1024595,2026-06,602.6,0.0,0,433.86,ElastiCache,Redis production cluster
Compliance-Audit,i-0779383,2026-06,828.1,0.0,0,717.69,EC2,m5.large monitoring server
Security-Ops,ecs-0752257,2026-06,609.8,0.0,0,1112.88,ECS,Fargate API cluster
Production-Main,lam-0ef8919,2026-06,0.0,0.0,30571825,214.01,Lambda,Data transformer
Compliance-Audit,rds-0a2d193,2026-06,572.6,397.7,0,1471.44,RDS,db.r5.xlarge PostgreSQL primary
QA-Testing,elb-05f6806,2026-06,879.5,0.0,36645508,266.78,ELB,Application load balancer
Compliance-Audit,elb-0383198,2026-06,653.9,0.0,9081804,132.23,ELB,Classic load balancer
Marketing-Platform,rs-01d1175,2026-06,0.0,0.0,6381687,319.08,Redshift,Spectrum queries
Compliance-Audit,kin-0f65409,2026-06,674.3,0.0,28093378,410.16,Kinesis,Data stream ingestion
Compliance-Audit,rds-0c5c625,2026-06,798.3,554.4,0,1579.91,RDS,db.r5.large PostgreSQL replica
Shared-Services,ecs-0196614,2026-06,265.4,0.0,0,484.39,ECS,Fargate worker cluster
QA-Testing,ec-03e5292,2026-06,685.1,0.0,0,493.24,ElastiCache,Redis production cluster
Customer-Portal,ebs-0284870,2026-06,0.0,555.5,0,347.16,EBS,io2 volumes database
Partner-Integration,elb-0a1a739,2026-06,426.8,0.0,17784632,129.47,ELB,Application load balancer
Marketing-Platform,ddb-10b7797,2026-06,599.6,8.3,4164130,72.87,DynamoDB,Config store table
Edge-Network,sqs-030f172,2026-06,0.0,0.0,34399728,17.2,SQS,Event notification queue
Compliance-Audit,i-09bd329,2026-06,651.3,0.0,0,564.44,EC2,m5.large monitoring server
Customer-Portal,vpn-0620659,2026-06,870.4,0.0,0,220.62,VPN Gateway,Client VPN endpoint
Data-Science,i-0b26616,2026-06,717.4,0.0,0,1243.99,EC2,m5.xlarge web server
Security-Ops,ecs-07b7146,2026-06,147.1,0.0,0,268.45,ECS,Fargate batch cluster
DevOps-Central,ddb-0c8d504,2026-06,885.5,12.2,6149297,107.62,DynamoDB,Config store table
Security-Ops,sqs-100d671,2026-06,0.0,0.0,41674563,20.84,SQS,Event notification queue
Edge-Network,s3-0e77512,2026-06,0.0,1079.1,2158254,94.42,S3,Artifact storage
Security-Ops,vpn-0b04791,2026-06,491.4,0.0,0,124.54,VPN Gateway,Client VPN endpoint
DevOps-Central,kin-05ca757,2026-06,697.3,0.0,29054559,424.19,Kinesis,Data stream ingestion
QA-Testing,r53-03eb769,2026-06,0.0,0.0,58168947,87.25,Route 53,DNS hosting
DevOps-Central,ec-08c9419,2026-06,778.7,0.0,0,560.66,ElastiCache,Redis production cluster
ML-Training,rs-0cb9386,2026-06,0.0,0.0,4036326,201.82,Redshift,Spectrum queries
QA-Testing,elb-0fcb895,2026-06,831.0,0.0,34623319,252.05,ELB,Application load balancer
Internal-Tools,ses-06ea830,2026-06,0.0,0.0,2752388,3.31,SES,Transactional email
Customer-Portal,vpn-0c49718,2026-06,1058.5,0.0,0,268.31,VPN Gateway,Client VPN endpoint
Compliance-Audit,i-0711499,2026-06,708.4,0.0,0,2455.73,EC2,m5.2xlarge batch processor
ML-Training,i-05c0894,2026-06,890.4,0.0,0,771.62,EC2,m5.large monitoring server
ML-Training,ebs-0505369,2026-06,0.0,548.2,0,342.61,EBS,io2 volumes database
Production-Secondary,i-064a426,2026-06,449.9,0.0,0,779.95,EC2,r5.xlarge cache server
ML-Training,rds-0d21371,2026-06,546.9,607.8,0,1276.29,RDS,db.m5.xlarge analytics DB
Edge-Network,i-0326979,2026-06,531.9,0.0,0,461.39,EC2,t3.large application server
Production-Secondary,elb-07db529,2026-06,550.3,0.0,38211525,238.44,ELB,Network load balancer
Marketing-Platform,ddb-0401403,2026-06,595.1,41.4,66123698,464.93,DynamoDB,Session store table
Finance-Systems,rds-0f07880,2026-06,851.0,590.9,0,1684.2,RDS,db.r5.large PostgreSQL replica
Production-Main,i-0011267,2026-06,871.5,0.0,0,63.62,EC2,t3.micro bastion host
ML-Training,i-0ea3191,2026-06,811.9,0.0,0,703.63,EC2,m5.large monitoring server
Data-Science,i-0138182,2026-06,360.7,0.0,0,1046.01,EC2,c5.2xlarge HPC node
Compliance-Audit,i-0f48232,2026-06,641.2,0.0,0,555.75,EC2,m5.large monitoring server
Marketing-Platform,rds-0ff5598,2026-06,398.4,110.7,0,470.39,RDS,db.t3.medium MySQL staging
Customer-Portal,vpn-0445666,2026-06,1018.1,0.0,0,258.06,VPN Gateway,Client VPN endpoint
Production-Main,r53-08e7973,2026-06,0.0,0.0,15270527,22.91,Route 53,Health checks
Internal-Tools,s3-04d2237,2026-06,0.0,4413.3,7061157,322.16,S3,Media content bucket
ML-Training,r53-0977544,2026-06,0.0,0.0,13419247,20.12,Route 53,Health checks
Marketing-Platform,rds-01e3515,2026-06,910.9,632.6,0,2340.52,RDS,db.r5.xlarge PostgreSQL primary
Shared-Services,s3-05c9296,2026-06,0.0,14345.3,2869073,502.09,S3,Data lake raw zone
ML-Training,lam-0f1c278,2026-06,0.0,0.0,10323371,72.27,Lambda,Notification dispatcher
ML-Training,kin-0462370,2026-06,815.2,0.0,33968663,495.94,Kinesis,Data stream ingestion
Edge-Network,i-0494187,2026-06,598.9,0.0,0,2076.13,EC2,m5.2xlarge batch processor
Compliance-Audit,s3-0dd2695,2026-06,0.0,690.0,1380296,60.38,S3,Artifact storage
Marketing-Platform,ddb-01da740,2026-06,642.3,8.9,4460578,78.06,DynamoDB,Config store table
Compliance-Audit,rds-10cb700,2026-06,775.1,538.4,0,1991.71,RDS,db.r5.xlarge PostgreSQL primary
Marketing-Platform,vpn-01d5989,2026-06,722.0,0.0,0,183.02,VPN Gateway,Client VPN endpoint
Internal-Tools,rds-10b1574,2026-06,801.8,556.7,0,1586.85,RDS,db.r5.large PostgreSQL replica
Compliance-Audit,r53-037c367,2026-06,0.0,0.0,7140545,10.71,Route 53,Health checks
Customer-Portal,ebs-0bbe242,2026-06,0.0,584.8,0,365.43,EBS,io2 volumes database
Compliance-Audit,i-039f632,2026-06,701.8,0.0,0,2432.92,EC2,m5.2xlarge batch processor
Finance-Systems,rds-0a10412,2026-06,543.7,755.1,0,2416.33,RDS,db.r5.2xlarge Aurora cluster
Data-Science,i-1124730,2026-06,393.0,0.0,0,1140.0,EC2,c5.2xlarge HPC node
Partner-Integration,elb-0f47182,2026-06,631.6,0.0,8772262,127.72,ELB,Classic load balancer
Compliance-Audit,rds-0fa1834,2026-06,512.0,355.6,0,1315.82,RDS,db.r5.xlarge PostgreSQL primary
Security-Ops,eks-0190684,2026-06,845.9,0.0,0,2537.6,EKS,Production K8s cluster
Customer-Portal,i-043f493,2026-06,639.9,0.0,0,2218.13,EC2,r5.2xlarge database server
Mobile-Backend,sqs-0528940,2026-06,0.0,0.0,371172,0.19,SQS,Dead letter queue
Security-Ops,s3-06c2985,2026-06,0.0,17749.5,3549896,621.23,S3,Data lake raw zone
Production-Main,cf-06b3438,2026-06,0.0,0.0,85797459,428.99,CloudFront,CDN media distribution
Compliance-Audit,s3-0a22154,2026-06,0.0,701.8,1403837,61.41,S3,Artifact storage
Mobile-Backend,kin-0d78738,2026-06,653.2,0.0,27214428,397.33,Kinesis,Data stream ingestion
Shared-Services,r53-0b00500,2026-06,0.0,0.0,8245483,12.37,Route 53,Health checks
Compliance-Audit,s3-0390870,2026-06,0.0,743.1,1486295,65.03,S3,Artifact storage
Production-Main,i-06fb209,2026-06,399.4,0.0,0,1158.24,EC2,c5.2xlarge HPC node
DevOps-Central,ddb-10b3290,2026-06,981.6,13.6,6817137,119.3,DynamoDB,Config store table
Marketing-Platform,nat-094a230,2026-06,514.4,0.0,0,117.35,NAT Gateway,Staging VPC NAT
ML-Training,rds-104f691,2026-06,580.2,402.9,0,1490.75,RDS,db.r5.xlarge PostgreSQL primary
Finance-Systems,s3-0843623,2026-06,0.0,1360.9,2721581,119.07,S3,Artifact storage
